img_path,img_gt_class_labels,img_gt_bbox_coords
VOCdevkit/VOC2012/JPEGImages/2010_004404.jpg,['aeroplane'],"[[67, 125, 210, 258]]"
VOCdevkit/VOC2012/JPEGImages/2008_007729.jpg,"['cow', 'person', 'person', 'person']","[[150, 285, 34, 69], [130, 263, -50, -111], [102, 263, -101, -155], [23, 230, 330, 251]]"
VOCdevkit/VOC2012/JPEGImages/2009_000011.jpg,"['train', 'train']","[[139, 167, 289, 124], [444, 209, 25, 32]]"
VOCdevkit/VOC2012/JPEGImages/2008_002477.jpg,"['person', 'person']","[[28, 375, 80, -34], [1, 375, 295, 125]]"
VOCdevkit/VOC2012/JPEGImages/2010_005747.jpg,"['dog', 'bottle']","[[81, 97, 227, 403], [288, 20, 12, 48]]"
VOCdevkit/VOC2012/JPEGImages/2012_002766.jpg,"['person', 'person']","[[28, 33, 178, 300], [406, 1, 42, 86]]"
VOCdevkit/VOC2012/JPEGImages/2010_003376.jpg,"['sheep', 'sheep', 'sheep', 'sheep', 'sheep']","[[269, 136, 93, 95], [89, 158, 176, 112], [89, 165, 113, 121], [273, 186, 40, 33], [327, 153, 49, 69]]"
VOCdevkit/VOC2012/JPEGImages/2010_000190.jpg,['sheep'],"[[270, 102, 178, 188]]"
VOCdevkit/VOC2012/JPEGImages/2008_004148.jpg,"['person', 'person']","[[95, 375, -94, -85], [115, 375, 126, 125]]"
VOCdevkit/VOC2012/JPEGImages/2011_000997.jpg,"['train', 'person']","[[2, 60, 487, 156], [263, 133, 11, 36]]"
VOCdevkit/VOC2012/JPEGImages/2008_003888.jpg,"['car', 'dog', 'dog', 'person', 'bicycle']","[[107, 227, -94, 168], [173, 248, -73, -92], [177, 244, -102, -108], [94, 235, 138, 75], [158, 235, 74, 56]]"
VOCdevkit/VOC2012/JPEGImages/2010_006764.jpg,['person'],"[[98, 102, 223, 201]]"
VOCdevkit/VOC2012/JPEGImages/2008_008025.jpg,"['aeroplane', 'aeroplane', 'car']","[[59, 156, -18, 140], [112, 164, 190, 272], [99, 112, -85, -66]]"
VOCdevkit/VOC2012/JPEGImages/2011_002822.jpg,"['person', 'person']","[[357, 72, 143, 285], [60, 76, 146, 281]]"
VOCdevkit/VOC2012/JPEGImages/2008_000602.jpg,['horse'],"[[71, 425, -51, -132]]"
VOCdevkit/VOC2012/JPEGImages/2009_002779.jpg,['bicycle'],"[[18, 38, 462, 280]]"
VOCdevkit/VOC2012/JPEGImages/2012_004054.jpg,['person'],"[[134, 83, 150, 217]]"
VOCdevkit/VOC2012/JPEGImages/2010_005957.jpg,['motorbike'],"[[1, 1, 499, 332]]"
VOCdevkit/VOC2012/JPEGImages/2009_003647.jpg,['cat'],"[[92, 22, 408, 310]]"
VOCdevkit/VOC2012/JPEGImages/2008_003598.jpg,['person'],"[[32, 183, -28, 89]]"
VOCdevkit/VOC2012/JPEGImages/2011_001966.jpg,"['bicycle', 'person']","[[83, 207, 213, 244], [110, 63, 184, 329]]"
VOCdevkit/VOC2012/JPEGImages/2008_007928.jpg,"['person', 'person', 'person', 'sofa', 'bottle', 'bottle']","[[69, 375, -68, -173], [89, 375, -18, -35], [62, 375, 215, 125], [138, 375, -91, 125], [116, 149, 255, 239], [102, 150, 286, 257]]"
VOCdevkit/VOC2012/JPEGImages/2008_000656.jpg,['person'],"[[32, 480, -31, -160]]"
VOCdevkit/VOC2012/JPEGImages/2011_004557.jpg,['person'],"[[26, 29, 307, 471]]"
VOCdevkit/VOC2012/JPEGImages/2007_003889.jpg,"['horse', 'horse', 'horse', 'person', 'person', 'person', 'person', 'chair']","[[75, 295, 270, 132], [79, 294, 78, -12], [105, 297, -53, -159], [32, 193, 305, 246], [35, 188, 87, 51], [58, 308, -57, -206], [48, 196, 3, -73], [119, 166, 312, 306]]"
VOCdevkit/VOC2012/JPEGImages/2010_005061.jpg,"['cow', 'cow', 'cow', 'cow']","[[240, 401, 59, 42], [190, 401, 59, 34], [185, 399, 33, 49], [99, 394, 64, 39]]"
VOCdevkit/VOC2012/JPEGImages/2008_007511.jpg,['sofa'],"[[17, 268, -2, 221]]"
VOCdevkit/VOC2012/JPEGImages/2011_001894.jpg,['person'],"[[105, 115, 395, 237]]"
VOCdevkit/VOC2012/JPEGImages/2008_002749.jpg,['cat'],"[[103, 286, -29, 214]]"
VOCdevkit/VOC2012/JPEGImages/2010_004254.jpg,"['tvmonitor', 'person', 'bottle']","[[337, 151, 163, 195], [1, 116, 226, 259], [144, 227, 39, 117]]"
VOCdevkit/VOC2012/JPEGImages/2011_003292.jpg,['person'],"[[216, 131, 54, 104]]"
VOCdevkit/VOC2012/JPEGImages/2010_006387.jpg,"['person', 'person', 'person']","[[308, 153, 38, 128], [232, 142, 43, 120], [142, 133, 67, 196]]"
VOCdevkit/VOC2012/JPEGImages/2009_001507.jpg,"['dog', 'chair']","[[109, 54, 379, 182], [1, 1, 499, 273]]"
VOCdevkit/VOC2012/JPEGImages/2012_003663.jpg,['person'],"[[217, 282, 46, 78]]"
VOCdevkit/VOC2012/JPEGImages/2011_006796.jpg,"['person', 'person']","[[221, 68, 101, 432], [151, 103, 86, 397]]"
VOCdevkit/VOC2012/JPEGImages/2008_004242.jpg,"['boat', 'person']","[[22, 179, 13, 248], [92, 375, 160, 125]]"
VOCdevkit/VOC2012/JPEGImages/2012_000218.jpg,['person'],"[[94, 1, 253, 299]]"
VOCdevkit/VOC2012/JPEGImages/2008_007891.jpg,['bird'],"[[53, 282, 132, 46]]"
VOCdevkit/VOC2012/JPEGImages/2009_002512.jpg,"['bus', 'bus', 'person', 'person', 'person']","[[403, 114, 97, 128], [138, 23, 269, 281], [176, 179, 47, 37], [162, 75, 33, 33], [192, 74, 34, 33]]"
VOCdevkit/VOC2012/JPEGImages/2008_004736.jpg,['cat'],"[[134, 269, 56, 22]]"
VOCdevkit/VOC2012/JPEGImages/2009_001147.jpg,"['horse', 'horse', 'horse']","[[103, 107, 135, 162], [290, 101, 125, 165], [456, 156, 44, 122]]"
VOCdevkit/VOC2012/JPEGImages/2008_004923.jpg,['car'],"[[90, 117, -85, -69]]"
VOCdevkit/VOC2012/JPEGImages/2011_002514.jpg,['tvmonitor'],"[[143, 60, 198, 153]]"
VOCdevkit/VOC2012/JPEGImages/2008_005517.jpg,"['boat', 'boat']","[[2, 213, 153, 93], [144, 159, -82, -66]]"
VOCdevkit/VOC2012/JPEGImages/2007_002284.jpg,"['pottedplant', 'pottedplant', 'pottedplant', 'pottedplant', 'pottedplant', 'pottedplant']","[[1, 88, 17, 18], [40, 84, -39, -59], [19, 116, 101, 100], [48, 125, 128, 109], [121, 243, 48, -3], [278, 493, -168, -243]]"
VOCdevkit/VOC2012/JPEGImages/2008_006847.jpg,"['person', 'person', 'chair', 'chair']","[[225, 432, -30, -132], [129, 425, -89, -240], [267, 500, -128, -125], [264, 500, -263, -330]]"
VOCdevkit/VOC2012/JPEGImages/2011_005526.jpg,"['person', 'person']","[[173, 176, 34, 60], [283, 181, 40, 62]]"
VOCdevkit/VOC2012/JPEGImages/2010_005055.jpg,['train'],"[[51, 49, 449, 244]]"
VOCdevkit/VOC2012/JPEGImages/2011_002789.jpg,['person'],"[[215, 61, 285, 386]]"
